0.05;17515.0;78.42
1.06;17515.0;78.42
2.06;17515.0;78.42
3.07;17408.17;82.26
4.09;17312.97;93.77
5.09;17246.94;108.71
6.11;17177.01;128.24
7.11;17109.03;150.49
8.12;17041.05;175.95
9.12;16967.24;207.27
10.14;16908.97;234.72
11.14;16842.93;268.73
12.14;16780.78;303.57
13.15;16714.74;343.61
14.15;16646.76;388.1
15.15;16582.66;433.08
16.16;16518.57;481.02
17.18;16454.47;531.92
18.18;16386.49;589.14
19.19;16320.45;647.93
20.19;16254.41;709.88
21.21;16190.32;773.02
22.21;16124.28;841.19
23.21;16058.24;912.51
24.23;15990.26;989.23
25.23;15922.28;1069.3
26.24;15865.95;1138.17
27.24;15809.62;1209.35
28.25;15753.29;1282.82
29.26;15689.2;1369.22
30.26;15623.16;1461.36
31.26;15557.12;1556.66
32.27;15489.14;1658.09
33.28;15421.16;1762.87
34.28;15366.77;1849.11
35.29;15322.1;1921.57
36.3;15261.89;2021.55
37.3;15197.79;2130.89
38.32;15125.93;2257.04
39.33;15059.89;2376.33
40.34;14991.87;2502.47
41.35;14921.94;2635.77
42.36;14853.94;2768.85
43.36;14783.96;2909.28
44.37;14721.77;3037.18
45.37;14651.76;3184.52
46.38;14583.77;3331.25
47.39;14513.81;3485.82
48.4;14445.7;3639.64
49.41;14379.64;3792.4
50.42;14309.68;3957.79
51.43;14239.62;4126.9
52.45;14169.62;4299.77
53.45;14099.59;4476.45
54.46;14033.52;4646.77
55.46;13965.46;4825.69
56.47;13895.39;5013.51
57.48;13831.24;5189.07
58.48;13761.28;5384.36
59.49;13697.09;5566.8
60.51;13629.07;5763.91
61.51;13559.0;5970.48
62.52;13513.55;6145.24
63.53;7730.95;6298.63
64.54;7679.97;6495.95
65.56;7634.99;6671.58
66.57;7587.01;6860.39
67.57;7544.95;7026.75
68.58;7505.82;7182.09
69.59;7459.26;7368.35
70.6;7421.69;7519.39
71.62;7382.72;7677.27
72.63;7333.17;7878.81
73.63;7285.18;8075.44
74.65;7234.12;8285.58
75.65;7182.97;8496.9
76.65;7131.71;8709.28
77.65;7080.41;8922.67
78.66;7029.15;9137.13
79.68;6985.42;9321.03
80.68;6935.72;9531.54
81.7;6883.08;9756.52
82.71;6830.6;9983.53
83.72;6778.08;10212.73
84.73;6726.89;10437.48
85.73;6674.14;10671.02
86.73;6625.88;10886.55
87.73;6573.07;11124.65
88.73;6521.87;11358.55
89.75;6469.39;11602.38
90.75;6416.89;11849.59
91.76;6365.73;12093.0
92.77;6317.49;12324.99
93.78;6264.75;12582.04
94.79;6212.21;12842.83
95.81;6161.27;13100.08
96.81;6111.74;13353.63
97.82;6062.07;13611.07
98.82;6014.0;13864.59
99.83;5970.42;14097.84
100.84;5923.97;14351.01
101.85;5872.92;14633.34
102.86;5835.35;14844.09
103.87;5785.81;15126.53
104.87;5742.28;15378.89
105.88;5698.78;15635.3
106.88;5649.33;15932.24
107.89;5599.88;16234.84
108.9;5547.37;16562.11
109.9;5497.85;16876.81
110.91;5446.84;17207.46
111.92;5400.39;17514.82
112.93;5349.41;17858.58
113.93;5298.42;18209.54
114.93;5247.47;18567.97
115.95;5196.52;18934.13
116.96;5145.57;19308.23
117.97;5093.11;19701.82
118.98;5040.66;20104.25
119.99;4988.21;20515.74
120.99;4937.26;20924.34
122.0;4889.31;21317.07
123.01;4838.36;21743.24
124.01;4785.91;22191.72
125.01;4733.46;22650.37
126.02;4682.51;23105.87
127.03;4631.56;23571.38
128.04;4582.11;24032.97
129.05;4528.17;24547.74
130.06;4475.72;25059.67
131.07;4423.27;25583.17
132.07;4370.82;26118.48
133.08;4319.87;26650.07
134.09;4267.42;27209.47
135.1;4214.97;27781.49
136.1;4167.29;28382.56
137.1;4126.02;28959.82
138.12;4081.1;29598.55
139.12;4073.35;30173.12
140.13;4071.7;30812.38
141.13;4068.77;31446.05
142.14;4065.21;32107.44
143.14;4061.78;32761.62
144.15;4059.07;33276.34
145.16;4057.71;33835.53
146.16;4057.0;34373.08
147.17;4056.04;35002.03
148.17;4055.17;35306.05
149.18;2551.59;35737.06
150.19;2527.88;36439.44
151.19;2506.97;37067.09
152.2;2488.44;37634.56
153.21;2465.66;38337.4
154.22;2441.27;39096.34
155.23;2415.39;39913.0
156.24;2400.1;40400.45
157.25;2376.85;41146.01
158.26;2351.54;41967.79
159.26;2330.45;42659.49
160.27;2304.08;43533.15
161.27;2277.71;44417.14
162.28;2251.34;45311.76
163.29;2226.03;46180.86
164.3;2199.13;47115.61
165.31;2172.24;48062.35
166.32;2146.39;48983.57
167.33;2118.96;49973.94
168.34;2092.58;50938.93
169.35;2065.69;51936.39
170.36;2043.01;52787.97
171.37;2016.64;53790.66
172.37;1992.91;54704.81
173.38;1966.54;55733.9
174.39;1950.72;56358.25
175.4;1927.52;57283.52
176.41;1910.64;57963.71
177.41;1885.86;58974.07
178.42;1861.6;59976.25
179.43;1838.39;60947.48
180.45;1812.55;62043.95
181.45;1788.29;63087.88
182.46;1763.51;64169.48
183.46;1737.14;65337.11
184.47;1710.77;66522.74
185.48;1684.4;67726.81
186.48;1658.56;68925.18
187.49;1633.25;70117.17
188.51;1606.88;71378.36
189.52;1580.51;72660.0
190.52;1555.73;73883.87
191.52;1528.83;75233.43
192.53;1502.46;76578.85
193.54;1476.1;77946.99
194.54;1449.2;79366.57
195.55;1423.36;80754.0
196.56;1396.46;82223.22
197.57;1369.57;83718.83
198.58;1343.2;85211.47
199.58;1317.36;86700.32
200.59;1296.45;88276.37
201.61;1284.06;89865.51
202.62;1277.44;91462.85
203.63;1277.44;93024.95
204.63;1277.44;94581.01
205.64;1277.44;96161.92
206.65;1277.44;97705.79
207.65;1277.44;99212.95
208.66;1277.44;100775.55
209.66;1277.44;102301.52
210.66;1277.44;103791.21
211.67;715.0;105306.88
212.68;715.0;106785.73
213.68;715.0;108288.96
214.69;715.0;109816.25
215.7;715.0;111307.71
