156.47;1556.12;72232.58;1254.74
157.48;1529.75;73277.49;1283.42
158.49;1504.44;74298.25;1311.62
159.54;1479.12;75336.72;1340.5
160.6;1451.7;76482.39;1372.56
161.62;1424.28;77650.24;1405.46
162.63;1397.91;78794.71;1437.9
163.64;1371.01;79984.5;1471.83
164.65;1344.65;81173.63;1505.94
165.66;1318.28;82385.91;1540.93
166.67;1291.38;83647.05;1577.55
167.67;1276.69;84902.54;1595.15
168.68;1264.55;86166.54;1608.82
169.68;1262.54;87459.22;1606.1
170.69;1262.54;88720.99;1600.28
171.7;1262.54;89977.11;1594.48
172.71;1262.54;91252.53;1588.59
173.72;1262.54;92472.43;1582.96
174.72;1262.54;93736.41;1577.12
175.73;1262.54;94969.97;1571.43
176.74;1262.54;96222.46;1565.65
177.75;1262.54;97444.78;1560.0
178.75;1262.54;98661.56;1554.39
179.75;1262.54;99896.99;1548.68
180.76;1262.54;101102.65;1543.11
181.77;1262.54;102302.82;1537.57
182.78;1262.54;103521.35;1531.94
183.79;1262.54;104710.49;1526.45
184.8;1262.54;105894.18;1520.98
185.81;1262.54;107095.96;1515.42
186.82;1262.54;108292.11;1509.89
187.82;1262.54;109459.35;1504.49
188.83;1262.54;110621.22;1499.12
189.84;1262.54;111800.8;1493.66
190.85;1262.54;112951.85;1488.34
191.86;1262.54;114120.43;1482.92
192.86;1262.54;115260.72;1477.64
193.86;1262.54;116395.7;1472.39
194.88;1262.54;117525.4;1467.15
195.88;1262.54;118672.25;1461.83
196.89;1262.54;119791.3;1456.64
197.91;1262.54;120927.32;1451.37
198.91;1262.54;122035.79;1446.22
199.91;1262.54;123139.03;1441.1
200.92;1262.54;124258.97;1435.89
201.92;1262.54;125351.71;1430.81
202.93;1262.54;126439.27;1425.76
203.94;1262.54;127543.26;1420.62
204.95;1262.54;128620.39;1415.6
205.96;1262.54;129692.39;1410.61
206.97;1262.54;130759.25;1405.63
207.97;1262.54;131821.01;1400.68
208.98;1262.54;132898.74;1395.65
209.98;1262.54;133950.2;1390.74
210.98;1262.54;134996.58;1385.85
212.0;1262.54;136058.67;1380.88
213.01;1262.54;137094.84;1376.03
214.02;1262.54;138146.53;1371.11
215.03;1262.54;139172.53;1366.3
216.03;1262.54;140213.88;1361.42
217.04;1262.54;141229.76;1356.65
218.05;1262.54;142260.81;1351.81
219.06;1262.54;143266.62;1347.08
220.08;1262.54;144287.42;1342.28
221.08;1262.54;145283.2;1337.59
222.09;1262.54;146274.04;1332.92
223.1;1262.54;147279.61;1328.18
224.11;1262.54;148260.49;1323.55
225.12;1262.54;149255.93;1318.85
226.14;1262.54;150246.27;1314.17
227.14;1262.54;151192.98;1309.69
228.14;1262.54;152154.18;1305.14
229.15;1262.54;153110.51;1300.6
230.16;1262.54;154080.97;1296.0
231.16;1262.54;155027.5;1291.5
232.16;1262.54;155969.2;1287.03
233.17;1262.54;156906.07;1282.57
234.18;1262.54;157856.71;1278.04
235.19;1262.54;158783.87;1273.62
236.2;1262.54;159724.62;1269.13
237.21;1262.54;160642.1;1264.75
238.21;1262.54;161554.8;1260.39
239.21;1262.54;162462.74;1256.04
240.22;1262.54;163383.94;1251.62
241.23;1262.54;164300.19;1247.23
242.24;1262.54;165193.7;1242.94
243.25;1262.54;166100.22;1238.58
244.26;1262.54;166984.19;1234.32
245.27;1262.54;167863.45;1230.09
246.28;1262.54;168755.47;1225.78
247.28;1262.54;169625.25;1221.58
248.3;1262.54;170507.61;1217.31
249.3;1262.54;171367.95;1213.15
250.31;1262.54;172223.63;1209.0
251.31;1262.54;173091.64;1204.79
252.32;1262.54;173937.93;1200.68
253.33;1262.54;174779.59;1196.58
254.34;1262.54;175633.31;1192.42
255.35;1262.54;176465.63;1188.36
256.35;1262.54;177293.35;1184.32
257.36;1262.54;178132.88;1180.22
258.37;1262.54;178967.63;1176.13
259.38;1262.54;179781.39;1172.14
260.39;1262.54;180590.57;1168.17
261.4;1262.54;181411.23;1164.14
262.41;1262.54;182211.2;1160.2
263.42;1262.54;183006.61;1156.28
264.42;1262.54;183813.26;1152.3
265.42;1262.54;184583.83;1148.49
266.43;1262.54;185381.23;1144.54
267.43;1262.54;186158.44;1140.69
268.44;1262.54;186946.54;1136.78
